 time            v(OUT+)         v(OUT-)         @R1[i]          @R2[i]         
 0.00000000e+00  3.03246139e+00  3.20242900e+00  5.35077225e-03  1.95141996e-03 
 1.00000000e-13  3.03246741e+00  3.20243608e+00  5.35065177e-03  1.95127846e-03 
 2.00000000e-13  3.03247307e+00  3.20244273e+00  5.35053868e-03  1.95114546e-03 
 4.00000000e-13  3.03248368e+00  3.20245523e+00  5.35032644e-03  1.95089546e-03 
 8.00000000e-13  3.03250117e+00  3.20247597e+00  5.34997661e-03  1.95048066e-03 
 1.60000000e-12  3.03252478e+00  3.20250471e+00  5.34950443e-03  1.94990578e-03 
 3.20000000e-12  3.03254450e+00  3.20253253e+00  5.34910995e-03  1.94934940e-03 
 6.40000000e-12  3.03253892e+00  3.20254302e+00  5.34922156e-03  1.94913959e-03 
 1.28000000e-11  3.03249037e+00  3.20253083e+00  5.35019255e-03  1.94938342e-03 
 2.28000000e-11  3.03241929e+00  3.20251108e+00  5.35161412e-03  1.94977837e-03 
 3.28000000e-11  3.03236976e+00  3.20249756e+00  5.35260489e-03  1.95004882e-03 
 4.28000000e-11  3.03233836e+00  3.20249071e+00  5.35323287e-03  1.95018573e-03 
 5.28000000e-11  3.03231857e+00  3.20248772e+00  5.35362856e-03  1.95024564e-03 
 6.28000000e-11  3.03230629e+00  3.20248703e+00  5.35387421e-03  1.95025932e-03 
 7.28000000e-11  3.03229864e+00  3.20248738e+00  5.35402722e-03  1.95025245e-03 
 8.28000000e-11  3.03229390e+00  3.20248816e+00  5.35412190e-03  1.95023684e-03 
 9.28000000e-11  3.03229097e+00  3.20248900e+00  5.35418069e-03  1.95022005e-03 
 1.02800000e-10  3.03228915e+00  3.20248976e+00  5.35421704e-03  1.95020478e-03 
 1.12800000e-10  3.03228802e+00  3.20249038e+00  5.35423959e-03  1.95019231e-03 
 1.22800000e-10  3.03228732e+00  3.20249087e+00  5.35425355e-03  1.95018259e-03 
 1.32800000e-10  3.03228689e+00  3.20249123e+00  5.35426220e-03  1.95017534e-03 
 1.42800000e-10  3.03228662e+00  3.20249150e+00  5.35426756e-03  1.95017003e-03 
 1.52800000e-10  3.03228646e+00  3.20249169e+00  5.35427089e-03  1.95016624e-03 
 1.62800000e-10  3.03228635e+00  3.20249182e+00  5.35427295e-03  1.95016356e-03 
 1.72800000e-10  3.03228629e+00  3.20249192e+00  5.35427423e-03  1.95016169e-03 
 1.82800000e-10  3.03228625e+00  3.20249198e+00  5.35427503e-03  1.95016039e-03 
